sku,name,description,category,image_url,is_active
SK-TEES-021,Floral Cowgirl Boots Tee,"Delicate florals meet classic western boots in this tee that’s made for the modern southern belle. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747691092/floralboots_xjpcmz.webp,TRUE
SK-TEES-022,Sun-Kissed & Southern Brand Tee,"Simple, stylish, and proudly southern — our signature tee embodies everything Sun-Kissed & Southern stands for. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747691096/skstee_hrs4tv.webp,TRUE
SK-TANK-001,Summer Vibes Tank,"Keep it cool and coastal in this tank with bold ‘Summer Vibes’ lettering — perfect for beach days or boat rides. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864599/TankSummerVibes1Black_ce5jql.png,TRUE
SK-TANK-002,Sun-Kissed Tank,"Bright and cheerful, this tank channels serious sunshine energy with a minimal ‘sun-kissed’ vibe. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864604/TankSunkissedYellow_r1gmqr.png,TRUE
SK-TANK-003,Sunflower Tank,"This tank features a warm golden sunflower for the perfect blend of fresh and floral. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864603/TankSunflowerMint_mgbiqn.png,TRUE
SK-TANK-004,Strawberry Cutie Tank,"Sweet and summery, this tank features an adorable strawberry graphic for your next sunny outing. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864600/TankStrawberryWhite_o3eirf.png,TRUE
SK-TANK-005,Endless Summer Tank,"Capture that never-ending summer feeling with this vibrant tank made for long days and tan lines. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864574/TankEndlessSummerYellow_xjitki.png,TRUE
SK-TANK-006,Howdy Tank,"Say it with southern charm — this tank pairs perfectly with denim and cowboy boots. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864582/TankHowdyWhite_fu9wsn.png,TRUE
SK-TANK-007,Lake Life Tank,"Lake days are the best days — this tank is a splash of fun for pontoon rides and dock hangs. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864580/TankLakeLifePink_zji23b.png,TRUE
SK-TANK-008,Love Tank,"A classic and clean look with just one word: Love. Simple and soft for all your sun-soaked plans. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864585/TankLoveWhite_kl8tes.png,TRUE
SK-TANK-009,Pontoon Tank,"This tank is made for boat queens and lakeside lounging. Bold and full of pontoon pride. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864586/TankPontoonPink_tootfs.png,TRUE
SK-TANK-010,Retro Palm Tank,"A palm tree throwback design adds retro coastal flair to this go-with-anything tank. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864593/TankRetroPalmWhite_nyv6mf.png,TRUE
SK-TANK-011,Retro Florida Tank,"Bring vintage Florida energy in this tank with a playful pastel design. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864590/TankRetroFloridaGreen_gmncrq.png,TRUE
SK-TANK-012,Summer Vibes Tank,"Celebrate your sunny outlook in this tank with vibrant summer script. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864599/TankSummerVibes2Pink_vgi849.png,TRUE
SK-TANK-013,Grits & Grace Tank,"A southern staple — this tank says ‘Grits & Grace’ with a whole lot of charm. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864575/TankGritsWhite_q1bc6a.png,TRUE
SK-TANK-014,Retro Wavy Florida Tank,"Bold, beachy, and full of Florida pride, this tank features tropical script that brings summer energy to any outfit. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747864588/TankRetroFloridaBlack_1_pgkv8h.png,TRUE
SK-TANK-015,Turtle Tank,"This tank features a cute sea turtle, perfect for beach walks and eco-loving hearts. This 100% cotton unisex tank top is soft, breathable, and perfect for sunny days and warm-weather adventures.",Tank Tops,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747865322/TankTurtleYellow_aokbsh.png,TRUE
SK-SWEA-001,Daytona Beach Sweatshirt,"A cozy pick for breezy nights — rep your favorite Florida beach in soft, laid-back comfort.",Sweatshirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842350/SweatshirtDaytona_ouc7zl.png,TRUE
SK-SWEA-002,Howdy Script Sweatshirt,"Bold and friendly, this sweatshirt brings warmth and southern charm wherever you go.",Sweatshirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842350/Sweatshirthowdy_rfeja4.png,TRUE
SK-TOWE-001,Striped Black & White Beach Towel,A timeless black and white towel with bold coastal stripes — perfect for pool or shore.,Beach Towels,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846162/TowelBlackWhite_icmpts.png,TRUE
SK-TOWE-002,Gray & Blue Beach Towel,This gray and blue combo makes a stylish and soft addition to your beach day essentials.,Beach Towels,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846163/TowelGrayBlue_wwv7h0.png,TRUE
SK-TOWE-003,Ocean Blue Beach Towel,"Bring the calm of the sea with you in this solid ocean blue towel — soft, absorbent, and beach-ready.",Beach Towels,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846163/TowelBlue_mprenz.png,TRUE
SK-TOWE-004,Gray Stripe Beach Towel,"Minimalist yet stylish, this striped gray towel suits any summer look.",Beach Towels,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846164/TowelGrayStripe_ruwy2w.png,TRUE
SK-TOWE-005,Stripe Beach Towel,This classic blue stripe towel is your new go-to for seaside sun or lakeside lounging.,Beach Towels,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846168/TowelStripeBlue_nvxu0g.png,TRUE
SK-TUMB-001,Retro Florida Mug,"Sip in style with this tumbler featuring bold Florida lettering — perfect for beach days, road trips, or your morning iced coffee.",Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842362/TumblerMugFlorida_yhymrv.png,TRUE
SK-TUMB-002,Cowgirl Boots Mug,Add a little western charm to your drinks with this cowgirl boots design tumbler made for rodeo fans and country hearts.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842363/TumblerMugBoots_jsxzxr.png,TRUE
SK-TUMB-003,Float Boat Tumbler,"If you love lazy days on the water, this ‘float boat’ tumbler is made for pontoons, docks, and docktails.",Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842362/TumblerMugFloatBoat_vwqdtm.png,TRUE
SK-TUMB-004,Summer Vibes Tumbler,Celebrate sunshine and fun wherever you go with this bright and cheerful ‘Summer Vibes’ tumbler.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842364/TumblerMugSummerVibes_w3uv9h.png,TRUE
SK-TUMB-005,Key West Babe Tumbler,A tropical tumbler for bold beach babes — perfect for poolside hangs and Key West dreams.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842360/TumblerKeyWestBabe_placo5.png,TRUE
SK-TUMB-006,Lake Life Tumbler,"Whether you’re on the boat or off the dock, this tumbler keeps your lake day vibes strong all day long.",Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842362/TumblerLakeLife_cnki6p.png,TRUE
SK-TUMB-007,Lake Life Ombre Tumbler,A fade-to-fun ombré tumbler that brings pastel lake vibes with every sip.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842362/TumblerLakeLifeOmbre_pqhlkj.png,TRUE
SK-TUMB-008,Lake Life Salty Tumbler,This cheeky ‘Lake Life Salty’ tumbler adds flavor and personality to your daily hydration.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842362/TumblerLakeLifeSalty_v2lwot.png,TRUE
SK-TUMB-009,Sea Turtle Tumbler,"With a calm and coastal sea turtle design, this tumbler is ideal for ocean lovers and turtle fans alike.",Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842365/TumblerSeaTurtle_svgpch.png,TRUE
SK-TUMB-010,Flower Truck Tumbler,"Featuring a vintage flower truck illustration, this tumbler is full of charm for floral lovers on the go.",Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842365/TumblerTruck_lkbpuv.png,TRUE
SK-TUMB-011,Beach Life Tumbler,Stay hydrated in coastal style with this laid-back tumbler designed for beach lovers.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842358/TumblerBeachLife_bqizzt.png,TRUE
SK-TUMB-012,Daytona Beach Tumbler,Rev up your coastal energy with this Daytona-inspired tumbler — a bold choice for sunshine seekers.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842359/TumblerDaytona_c1lyip.png,TRUE
SK-TUMB-013,Chicken Mom Tumbler,Perfect for chicken lovers and backyard farmers — this tumbler keeps your coffee cluckin’.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842359/TumblerChicken_ll2hso.png,TRUE
SK-TUMB-014,Howdy Tumbler,Bring a little southern greeting to your drinkware with this playful and bold Howdy design.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842359/TumblerHowdy_tndr2v.png,TRUE
SK-TUMB-015,Strawberry Tumbler,"Sweet and vibrant, this strawberry design tumbler is as fun as it is functional.",Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842364/TumblerStrawberry_ve9tui.png,TRUE
SK-TUMB-016,Summer Vibes Ombre Tumbler,This ombré tumbler brings the heat with ‘Summer Vibes’ energy in every sip.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842364/TumblerSummerVibes_ovv1bl.png,TRUE
SK-TUMB-017,Sunset Tumbler,A dreamy sunset tumbler that captures golden hour — perfect for unwinding on the water.,Tumblers,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842365/TumblerSunset_lsvukn.png,TRUE
SK-TOTE-001,Clearwater Tote,A coastal classic tote named for one of Florida’s favorite beach towns — built to carry sunshine.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842351/ToteClearwater_tkfxen.png,TRUE
SK-TOTE-002,Country Girl Tote,"This tote celebrates strong, sun-kissed women who carry charm and grit wherever they go.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842352/ToteCountryGirl_ywclnc.png,TRUE
SK-TOTE-003,Biscuits Tote,"Whether you're headed to brunch or the market, this cheeky biscuits tote is a crowd-pleaser.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842353/ToteBiscuits_u0a58u.png,TRUE
SK-TOTE-004,Love Tote,"Simple and sweet, this ‘Love’ tote is made for carrying kindness and all your daily essentials.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842355/ToteLove_upgnuh.png,TRUE
SK-TOTE-005,Chicken Mom Tote,This fun and farm-inspired tote is a must-have for chicken moms and homestead queens.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842355/ToteChickenMom_rzzxrq.png,TRUE
SK-TOTE-006,Lake Life Tote,"Perfect for the dock, boat, or town — carry your love of lake life with pride.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842355/ToteLakeLife_gwpjwz.png,TRUE
SK-TOTE-007,Neon Moon Tote,A nighttime statement for country music lovers and moon chasers.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842355/ToteNeonMoon_mxou4v.png,TRUE
SK-TOTE-008,Farm Life Tote,A practical and charming tote that reflects slow living and farmstead beauty.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842355/ToteFarmLife_ifda80.png,TRUE
SK-TOTE-009,Pontoon Tote,"Whether you're on the boat or packing for the lake, this tote keeps it all together.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842356/TotePontoon_sxldkh.png,TRUE
SK-TOTE-010,Strawberries Tote,"Sweeten up your errands with this juicy tote, perfect for markets and summer outings.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842357/ToteStrawberries_gbwnr4.png,TRUE
SK-TOTE-011,Summer Vibes Tote,"Bold, bright, and built for beach days, this tote celebrates carefree summer living.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842358/ToteSummerVibes_bovxjb.png,TRUE
SK-TOTE-012,Summer Vibes Tote,A second dose of summer — this alternate ‘Summer Vibes’ tote brings laid-back energy.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842358/ToteSummerVibes_1_i3lim7.png,TRUE
SK-TOTE-013,Sweet Tea Tote,This southern-inspired tote is perfect for those who prefer their tea sweet and their style simple.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842359/ToteSweetTea_bafd71.png,TRUE
SK-TOTE-014,Sun-Kissed Tote,A breezy and bright tote that keeps your summer essentials stylishly in reach.,Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842359/ToteSunkissed_bkcbrd.png,TRUE
SK-TOTE-015,Beach Life Tote,"Tote your towels, sunscreen, and vibes — this is your grab-and-go bag for beach days.",Totes,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747842351/ToteBeachLife_obvexd.png,TRUE
SK-ACCE-001,Florida Keychain,A small but bold way to carry a piece of Florida with you wherever you go.,Accessories,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846161/FloridaKeyChain_wmpgod.png,TRUE
SK-ACCE-002,Sun-Kissed Hat,Keep cool and covered in this clean and comfy southern-branded cap.,Accessories,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846161/Hat1_gqixym.png,TRUE
SK-ACCE-003,Howdy Hat,Say it loud with this soft and stylish ‘Howdy’ hat — a southern favorite.,Accessories,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846161/Hat2_mwqau2.png,TRUE
SK-ACCE-004,Classic Turtle Sunglasses,"Classic shape, modern tint — a sunny-day staple with retro energy.",Accessories,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846161/Sunglass1_ax30fb.png,TRUE
SK-ACCE-005,Retro Sunglasses,Easygoing and eye-catching — these sunnies bring the perfect pop to your beach-day outfit.,Accessories,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747846161/Sunglass2_vwezcx.png,TRUE
